Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.23,1.00 
8k,8192,Brugnano,1,0.22,1.00 
8k,8192,Brugnano,2,0.74,0.30 
8k,8192,Brugnano,4,0.97,0.23 
8k,8192,Brugnano,8,1.3,0.17 
8k,8192,Brugnano,10,1.41,0.16 
8k,8192,Brugnano,16,1.8,0.12 
8k,8192,Brugnano,20,1.96,0.11 
8k,8192,RecursiveDoubling,1,0.26,1.00 
8k,8192,RecursiveDoubling,2,0.77,0.34 
8k,8192,RecursiveDoubling,4,1.34,0.19 
8k,8192,RecursiveDoubling,8,1.83,0.14 
8k,8192,RecursiveDoubling,10,1.54,0.17 
8k,8192,RecursiveDoubling,16,2.52,0.10 
8k,8192,RecursiveDoubling,20,4.04,0.06 
16k,16384,Sequential,1,0.24,1.00 
16k,16384,Brugnano,1,0.34,1.00 
16k,16384,Brugnano,2,0.93,0.37 
16k,16384,Brugnano,4,1.66,0.20 
16k,16384,Brugnano,8,1.38,0.25 
16k,16384,Brugnano,10,1.92,0.18 
16k,16384,Brugnano,16,3.93,0.09 
16k,16384,Brugnano,20,3.44,0.10 
16k,16384,RecursiveDoubling,1,0.48,1.00 
16k,16384,RecursiveDoubling,2,0.85,0.56 
16k,16384,RecursiveDoubling,4,1.16,0.41 
16k,16384,RecursiveDoubling,8,1.34,0.36 
16k,16384,RecursiveDoubling,10,1.83,0.26 
16k,16384,RecursiveDoubling,16,2.37,0.20 
16k,16384,RecursiveDoubling,20,2.8,0.17 
128k,131072,Sequential,1,1.45,1.00 
128k,131072,Brugnano,1,2.2,1.00 
128k,131072,Brugnano,2,2.26,0.97 
128k,131072,Brugnano,4,2.3,0.96 
128k,131072,Brugnano,8,2.8,0.79 
128k,131072,Brugnano,10,2.82,0.78 
128k,131072,Brugnano,16,4.1,0.54 
128k,131072,Brugnano,20,4.34,0.51 
128k,131072,RecursiveDoubling,1,3.27,1.00 
128k,131072,RecursiveDoubling,2,2.54,1.29 
128k,131072,RecursiveDoubling,4,2.21,1.48 
128k,131072,RecursiveDoubling,8,2.95,1.11 
128k,131072,RecursiveDoubling,10,3.55,0.92 
128k,131072,RecursiveDoubling,16,4.32,0.76 
128k,131072,RecursiveDoubling,20,4.21,0.78 
1M,1048576,Sequential,1,10.36,1.00 
1M,1048576,Brugnano,1,17.48,1.00 
1M,1048576,Brugnano,2,11.56,1.51 
1M,1048576,Brugnano,4,9.63,1.82 
1M,1048576,Brugnano,8,8.68,2.01 
1M,1048576,Brugnano,10,9.03,1.94 
1M,1048576,Brugnano,16,10.53,1.66 
1M,1048576,Brugnano,20,10.56,1.66 
1M,1048576,RecursiveDoubling,1,25.1,1.00 
1M,1048576,RecursiveDoubling,2,14.58,1.72 
1M,1048576,RecursiveDoubling,4,11.53,2.18 
1M,1048576,RecursiveDoubling,8,9.63,2.61 
1M,1048576,RecursiveDoubling,10,8.32,3.02 
1M,1048576,RecursiveDoubling,16,8.47,2.96 
1M,1048576,RecursiveDoubling,20,9.08,2.76 
4M,4194304,Sequential,1,40.17,1.00 
4M,4194304,Brugnano,1,68.48,1.00 
4M,4194304,Brugnano,2,40.94,1.67 
4M,4194304,Brugnano,4,27.18,2.52 
4M,4194304,Brugnano,8,26.35,2.60 
4M,4194304,Brugnano,10,25.76,2.66 
4M,4194304,Brugnano,16,25.86,2.65 
4M,4194304,Brugnano,20,28.3,2.42 
4M,4194304,RecursiveDoubling,1,97.2,1.00 
4M,4194304,RecursiveDoubling,2,53.46,1.82 
4M,4194304,RecursiveDoubling,4,34.2,2.84 
4M,4194304,RecursiveDoubling,8,26.83,3.62 
4M,4194304,RecursiveDoubling,10,25.14,3.87 
4M,4194304,RecursiveDoubling,16,22.87,4.25 
4M,4194304,RecursiveDoubling,20,22.85,4.25 
