Program,Threads,Time(ms),Speedup
Sequential,1,1.45,1.00
Brugnano,1,2.2,0.66
Brugnano,2,2.26,0.64
Brugnano,4,2.3,0.63
Brugnano,8,2.8,0.52
Brugnano,10,2.82,0.51
Brugnano,16,4.1,0.35
Brugnano,20,4.34,0.33
RecursiveDoubling,1,3.27,0.44
RecursiveDoubling,2,2.54,0.57
RecursiveDoubling,4,2.21,0.65
RecursiveDoubling,8,2.95,0.49
RecursiveDoubling,10,3.55,0.41
RecursiveDoubling,16,4.32,0.33
RecursiveDoubling,20,4.21,0.34
