Program,Threads,Time(ms),Speedup
Sequential,1,2.39,1.00
Brugnano,1,3.72,0.64
Brugnano,2,2.86,0.84
Brugnano,4,4.28,0.56
Brugnano,8,3.59,0.67
Brugnano,10,4.39,0.55
Brugnano,16,4.93,0.49
Brugnano,20,6.36,0.38
RecursiveDoubling,1,5.52,0.43
RecursiveDoubling,2,4.5,0.53
RecursiveDoubling,4,3.58,0.67
RecursiveDoubling,8,4.64,0.52
RecursiveDoubling,10,4.26,0.56
RecursiveDoubling,16,5.76,0.42
RecursiveDoubling,20,6.71,0.36
