Program,Threads,Time(ms),Speedup
Sequential,1,0.26,1.00
Brugnano,1,0.47,0.56
Brugnano,2,1.49,0.18
Brugnano,4,2.08,0.13
Brugnano,8,2.07,0.13
Brugnano,10,2.6,0.1
Brugnano,16,2.86,0.09
Brugnano,20,2.92,0.09
RecursiveDoubling,1,0.66,0.4
RecursiveDoubling,2,2.13,0.12
RecursiveDoubling,4,1.9,0.14
RecursiveDoubling,8,2.99,0.09
RecursiveDoubling,10,3.05,0.09
RecursiveDoubling,16,5.12,0.05
RecursiveDoubling,20,5.37,0.05
