Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.23,1
8k,8192,Brugnano,1,0.29,0.81
8k,8192,Brugnano,2,1.07,0.22
8k,8192,Brugnano,4,1.2,0.19
8k,8192,Brugnano,8,2.04,0.11
8k,8192,Brugnano,10,2.39,0.1
8k,8192,Brugnano,16,2.89,0.08
8k,8192,Brugnano,20,4.25,0.05
8k,8192,RecursiveDoubling,1,0.46,0.5
8k,8192,RecursiveDoubling,2,1.57,0.15
8k,8192,RecursiveDoubling,4,1.5,0.15
8k,8192,RecursiveDoubling,8,2.67,0.09
8k,8192,RecursiveDoubling,10,2.78,0.08
8k,8192,RecursiveDoubling,16,4.63,0.05
8k,8192,RecursiveDoubling,20,5.58,0.04
16k,16384,Sequential,1,0.26,1
16k,16384,Brugnano,1,0.47,0.56
16k,16384,Brugnano,2,1.49,0.18
16k,16384,Brugnano,4,2.08,0.13
16k,16384,Brugnano,8,2.07,0.13
16k,16384,Brugnano,10,2.6,0.1
16k,16384,Brugnano,16,2.86,0.09
16k,16384,Brugnano,20,2.92,0.09
16k,16384,RecursiveDoubling,1,0.66,0.4
16k,16384,RecursiveDoubling,2,2.13,0.12
16k,16384,RecursiveDoubling,4,1.9,0.14
16k,16384,RecursiveDoubling,8,2.99,0.09
16k,16384,RecursiveDoubling,10,3.05,0.09
16k,16384,RecursiveDoubling,16,5.12,0.05
16k,16384,RecursiveDoubling,20,5.37,0.05
128k,131072,Sequential,1,2.39,1
128k,131072,Brugnano,1,3.72,0.64
128k,131072,Brugnano,2,2.86,0.84
128k,131072,Brugnano,4,4.28,0.56
128k,131072,Brugnano,8,3.59,0.67
128k,131072,Brugnano,10,4.39,0.55
128k,131072,Brugnano,16,4.93,0.49
128k,131072,Brugnano,20,6.36,0.38
128k,131072,RecursiveDoubling,1,5.52,0.43
128k,131072,RecursiveDoubling,2,4.5,0.53
128k,131072,RecursiveDoubling,4,3.58,0.67
128k,131072,RecursiveDoubling,8,4.64,0.52
128k,131072,RecursiveDoubling,10,4.26,0.56
128k,131072,RecursiveDoubling,16,5.76,0.42
128k,131072,RecursiveDoubling,20,6.71,0.36
1M,1048576,Sequential,1,20.7,1
1M,1048576,Brugnano,1,25.58,0.81
1M,1048576,Brugnano,2,17.26,1.2
1M,1048576,Brugnano,4,11.63,1.78
1M,1048576,Brugnano,8,10.27,2.01
1M,1048576,Brugnano,10,12.02,1.72
1M,1048576,Brugnano,16,12.57,1.65
1M,1048576,Brugnano,20,13.06,1.58
1M,1048576,RecursiveDoubling,1,42.77,0.48
1M,1048576,RecursiveDoubling,2,24.64,0.84
1M,1048576,RecursiveDoubling,4,15.56,1.33
1M,1048576,RecursiveDoubling,8,13.15,1.57
1M,1048576,RecursiveDoubling,10,11.31,1.83
1M,1048576,RecursiveDoubling,16,12.45,1.66
1M,1048576,RecursiveDoubling,20,12.29,1.68
4M,4194304,Sequential,1,68.08,1
4M,4194304,Brugnano,1,112.42,0.61
4M,4194304,Brugnano,2,60.2,1.13
4M,4194304,Brugnano,4,36.06,1.89
4M,4194304,Brugnano,8,30.36,2.24
4M,4194304,Brugnano,10,26.31,2.59
4M,4194304,Brugnano,16,27,2.52
4M,4194304,Brugnano,20,27.62,2.46
4M,4194304,RecursiveDoubling,1,118.28,0.58
4M,4194304,RecursiveDoubling,2,65.83,1.03
4M,4194304,RecursiveDoubling,4,38.88,1.75
4M,4194304,RecursiveDoubling,8,30.74,2.21
4M,4194304,RecursiveDoubling,10,28.49,2.39
4M,4194304,RecursiveDoubling,16,23.84,2.86
4M,4194304,RecursiveDoubling,20,25,2.72
8M,8388608,Sequential,1,90.3,1
8M,8388608,Brugnano,1,150.53,0.6
8M,8388608,Brugnano,2,87.97,1.03
8M,8388608,Brugnano,4,56.6,1.6
8M,8388608,Brugnano,8,49.43,1.83
8M,8388608,Brugnano,10,46.89,1.93
8M,8388608,Brugnano,16,49.45,1.83
8M,8388608,Brugnano,20,53.46,1.69
8M,8388608,RecursiveDoubling,1,234.58,0.38
8M,8388608,RecursiveDoubling,2,125.31,0.72
8M,8388608,RecursiveDoubling,4,74.43,1.21
8M,8388608,RecursiveDoubling,8,54.82,1.65
8M,8388608,RecursiveDoubling,10,49.16,1.84
8M,8388608,RecursiveDoubling,16,40.11,2.25
