Data,Size,Program,Threads,Time(ms),Speedup
8M,8388608,RecursiveDoubling,20,38.6,2.34
16M,16777216,Sequential,1,180.64,1
16M,16777216,Brugnano,1,333.63,0.54
16M,16777216,Brugnano,2,167.74,1.08
16M,16777216,Brugnano,4,109.83,1.64
16M,16777216,Brugnano,8,93.79,1.93
16M,16777216,Brugnano,10,91.38,1.98
16M,16777216,Brugnano,16,93.19,1.94
16M,16777216,Brugnano,20,94.42,1.91
16M,16777216,RecursiveDoubling,1,465.5,0.39
16M,16777216,RecursiveDoubling,2,250.76,0.72
16M,16777216,RecursiveDoubling,4,146.06,1.24
16M,16777216,RecursiveDoubling,8,107.25,1.68
16M,16777216,RecursiveDoubling,10,95.61,1.89
16M,16777216,RecursiveDoubling,16,75.29,2.4
16M,16777216,RecursiveDoubling,20,72.77,2.48
32M,33554432,Sequential,1,440.62,1
32M,33554432,Brugnano,1,803.1,0.55
32M,33554432,Brugnano,2,404.85,1.09
32M,33554432,Brugnano,4,208.13,2.12
32M,33554432,Brugnano,8,181.62,2.43
32M,33554432,Brugnano,10,195.92,2.25
32M,33554432,Brugnano,16,183.43,2.4
32M,33554432,Brugnano,20,185.04,2.38
32M,33554432,RecursiveDoubling,1,932.16,0.47
32M,33554432,RecursiveDoubling,2,495.32,0.89
32M,33554432,RecursiveDoubling,4,281.79,1.56
32M,33554432,RecursiveDoubling,8,205.09,2.15
32M,33554432,RecursiveDoubling,10,177.3,2.49
32M,33554432,RecursiveDoubling,16,143.18,3.08
32M,33554432,RecursiveDoubling,20,138.39,3.18
