Program,Threads,Time(ms),Speedup
Sequential,1,180.64,1.00
Brugnano,1,333.63,0.54
Brugnano,2,167.74,1.08
Brugnano,4,109.83,1.64
Brugnano,8,93.79,1.93
Brugnano,10,91.38,1.98
Brugnano,16,93.19,1.94
Brugnano,20,94.42,1.91
RecursiveDoubling,1,465.5,0.39
RecursiveDoubling,2,250.76,0.72
RecursiveDoubling,4,146.06,1.24
RecursiveDoubling,8,107.25,1.68
RecursiveDoubling,10,95.61,1.89
RecursiveDoubling,16,75.29,2.4
RecursiveDoubling,20,72.77,2.48
