Program,Threads,Time(ms),Speedup
Sequential,1,90.3,1.00
Brugnano,1,150.53,0.6
Brugnano,2,87.97,1.03
Brugnano,4,56.6,1.6
Brugnano,8,49.43,1.83
Brugnano,10,46.89,1.93
Brugnano,16,49.45,1.83
Brugnano,20,53.46,1.69
RecursiveDoubling,1,234.58,0.38
RecursiveDoubling,2,125.31,0.72
RecursiveDoubling,4,74.43,1.21
RecursiveDoubling,8,54.82,1.65
RecursiveDoubling,10,49.16,1.84
RecursiveDoubling,16,40.11,2.25
RecursiveDoubling,20,38.6,2.34
