Program,Threads,Time(ms),Speedup
Sequential,1,42.23,1.00
Brugnano,1,72.8,0.58
Brugnano,2,40.66,1.04
Brugnano,4,27.79,1.52
Brugnano,8,26.35,1.6
Brugnano,10,24.89,1.7
Brugnano,16,25.7,1.64
Brugnano,20,26.44,1.6
RecursiveDoubling,1,98.62,0.43
RecursiveDoubling,2,54.82,0.77
RecursiveDoubling,4,35.03,1.21
RecursiveDoubling,8,28.32,1.49
RecursiveDoubling,10,25.29,1.67
RecursiveDoubling,16,22.06,1.91
RecursiveDoubling,20,21.8,1.94
