Program,Threads,Time(ms),Speedup
Sequential,1,0.22,1.00
Brugnano,1,0.4,0.56
Brugnano,2,0.98,0.23
Brugnano,4,1.09,0.21
Brugnano,8,2.03,0.11
Brugnano,10,1.54,0.14
Brugnano,16,3,0.07
Brugnano,20,2.4,0.09
RecursiveDoubling,1,0.48,0.46
RecursiveDoubling,2,1.35,0.17
RecursiveDoubling,4,1.3,0.17
RecursiveDoubling,8,1.85,0.12
RecursiveDoubling,10,2.09,0.11
RecursiveDoubling,16,2.84,0.08
RecursiveDoubling,20,3.08,0.07
