Program,Threads,Time(ms),Speedup
Sequential,1,0.29,1.00
Brugnano,1,0.43,0.68
Brugnano,2,1.48,0.2
Brugnano,4,2.48,0.12
Brugnano,8,2.25,0.13
Brugnano,10,2.99,0.1
Brugnano,16,2.92,0.1
Brugnano,20,3.22,0.09
RecursiveDoubling,1,0.58,0.5
RecursiveDoubling,2,1.13,0.26
RecursiveDoubling,4,1.56,0.19
RecursiveDoubling,8,2.63,0.11
RecursiveDoubling,10,2.03,0.14
RecursiveDoubling,16,2.93,0.1
RecursiveDoubling,20,3.72,0.08
