Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.14,1
8k,8192,Brugnano,1,0.24,0.56
8k,8192,Brugnano,2,0.77,0.18
8k,8192,Brugnano,4,1.02,0.13
8k,8192,Brugnano,8,1.55,0.09
8k,8192,Brugnano,10,1.76,0.08
8k,8192,Brugnano,16,2.04,0.07
8k,8192,Brugnano,20,2.54,0.05
8k,8192,RecursiveDoubling,1,0.33,0.41
8k,8192,RecursiveDoubling,2,1,0.14
8k,8192,RecursiveDoubling,4,1.2,0.11
8k,8192,RecursiveDoubling,8,1.67,0.08
8k,8192,RecursiveDoubling,10,1.95,0.07
8k,8192,RecursiveDoubling,16,2.77,0.05
8k,8192,RecursiveDoubling,20,4.07,0.03
16k,16384,Sequential,1,0.29,1
16k,16384,Brugnano,1,0.43,0.68
16k,16384,Brugnano,2,1.48,0.2
16k,16384,Brugnano,4,2.48,0.12
16k,16384,Brugnano,8,2.25,0.13
16k,16384,Brugnano,10,2.99,0.1
16k,16384,Brugnano,16,2.92,0.1
16k,16384,Brugnano,20,3.22,0.09
16k,16384,RecursiveDoubling,1,0.58,0.5
16k,16384,RecursiveDoubling,2,1.13,0.26
16k,16384,RecursiveDoubling,4,1.56,0.19
16k,16384,RecursiveDoubling,8,2.63,0.11
16k,16384,RecursiveDoubling,10,2.03,0.14
16k,16384,RecursiveDoubling,16,2.93,0.1
16k,16384,RecursiveDoubling,20,3.72,0.08
128k,131072,Sequential,1,1.74,1
128k,131072,Brugnano,1,2.52,0.69
128k,131072,Brugnano,2,3.3,0.53
128k,131072,Brugnano,4,2.42,0.72
128k,131072,Brugnano,8,3.32,0.52
128k,131072,Brugnano,10,3.26,0.53
128k,131072,Brugnano,16,4.25,0.41
128k,131072,Brugnano,20,4.58,0.38
128k,131072,RecursiveDoubling,1,3.82,0.45
128k,131072,RecursiveDoubling,2,3.25,0.53
128k,131072,RecursiveDoubling,4,3.06,0.57
128k,131072,RecursiveDoubling,8,3.16,0.55
128k,131072,RecursiveDoubling,10,3.06,0.57
128k,131072,RecursiveDoubling,16,3.78,0.46
128k,131072,RecursiveDoubling,20,5.5,0.32
1M,1048576,Sequential,1,12.05,1
1M,1048576,Brugnano,1,20.04,0.6
1M,1048576,Brugnano,2,12.58,0.96
1M,1048576,Brugnano,4,10.43,1.16
1M,1048576,Brugnano,8,9.23,1.31
1M,1048576,Brugnano,10,10.44,1.15
1M,1048576,Brugnano,16,10.3,1.17
1M,1048576,Brugnano,20,10.84,1.11
1M,1048576,RecursiveDoubling,1,29.54,0.41
1M,1048576,RecursiveDoubling,2,18.62,0.65
1M,1048576,RecursiveDoubling,4,13.03,0.92
1M,1048576,RecursiveDoubling,8,11.78,1.02
1M,1048576,RecursiveDoubling,10,11.55,1.04
1M,1048576,RecursiveDoubling,16,12.06,1
1M,1048576,RecursiveDoubling,20,13.44,0.9
4M,4194304,Sequential,1,66.21,1
4M,4194304,Brugnano,1,105.48,0.63
4M,4194304,Brugnano,2,60.22,1.1
4M,4194304,Brugnano,4,38.5,1.72
4M,4194304,Brugnano,8,30.96,2.14
4M,4194304,Brugnano,10,27.2,2.43
4M,4194304,Brugnano,16,27.81,2.38
4M,4194304,Brugnano,20,27.63,2.4
4M,4194304,RecursiveDoubling,1,166.94,0.4
4M,4194304,RecursiveDoubling,2,94.77,0.7
4M,4194304,RecursiveDoubling,4,56.96,1.16
4M,4194304,RecursiveDoubling,8,36.66,1.81
4M,4194304,RecursiveDoubling,10,32.64,2.03
4M,4194304,RecursiveDoubling,16,29.32,2.26
4M,4194304,RecursiveDoubling,20,26.85,2.47
8M,8388608,Sequential,1,127.55,1
8M,8388608,Brugnano,1,209.16,0.61
8M,8388608,Brugnano,2,130.61,0.98
8M,8388608,Brugnano,4,72.18,1.77
8M,8388608,Brugnano,8,53.56,2.38
8M,8388608,Brugnano,10,51.4,2.48
8M,8388608,Brugnano,16,53.57,2.38
8M,8388608,Brugnano,20,51.75,2.46
8M,8388608,RecursiveDoubling,1,327.87,0.39
8M,8388608,RecursiveDoubling,2,178.36,0.72
8M,8388608,RecursiveDoubling,4,101.72,1.25
8M,8388608,RecursiveDoubling,8,67.77,1.88
8M,8388608,RecursiveDoubling,10,57.4,2.22
8M,8388608,RecursiveDoubling,16,48.1,2.65
8M,8388608,RecursiveDoubling,20,43.88,2.91
16M,16777216,Sequential,1,211.79,1
16M,16777216,Brugnano,1,385.95,0.55
16M,16777216,Brugnano,2,194.45,1.09
16M,16777216,Brugnano,4,114.41,1.85
16M,16777216,Brugnano,8,92.2,2.3
16M,16777216,Brugnano,10,91.34,2.32
16M,16777216,Brugnano,16,94.51,2.24
16M,16777216,Brugnano,20,98.58,2.15
16M,16777216,RecursiveDoubling,1,467.02,0.45
16M,16777216,RecursiveDoubling,2,249.12,0.85
16M,16777216,RecursiveDoubling,4,141.63,1.5
16M,16777216,RecursiveDoubling,8,105.86,2
16M,16777216,RecursiveDoubling,10,91.77,2.31
16M,16777216,RecursiveDoubling,16,74.04,2.86
16M,16777216,RecursiveDoubling,20,81.56,2.6
