Program,Threads,Time(ms),Speedup
Sequential,1,0.14,1.00
Brugnano,1,0.24,0.56
Brugnano,2,0.77,0.18
Brugnano,4,1.02,0.13
Brugnano,8,1.55,0.09
Brugnano,10,1.76,0.08
Brugnano,16,2.04,0.07
Brugnano,20,2.54,0.05
RecursiveDoubling,1,0.33,0.41
RecursiveDoubling,2,1,0.14
RecursiveDoubling,4,1.2,0.11
RecursiveDoubling,8,1.67,0.08
RecursiveDoubling,10,1.95,0.07
RecursiveDoubling,16,2.77,0.05
RecursiveDoubling,20,4.07,0.03
