"Dim","Size","Threads","Time_Orig","Time_Tiled","Speedup","Efficiency","Iter_Orig","Iter_Tiled"
"2D","64","1","24.98","20.36","1.23","123","9000","9000"
"2D","64","2","251.51","281.8","0.89","44.5","9000","9000"
"2D","64","4","626.37","627.01","1","25","9000","9000"
"2D","64","8","1147.66","1162.07","0.99","12.4","9000","9000"
"2D","64","10","1471.4","1424.05","1.03","10.3","9000","9000"
"2D","64","16","2180.49","2155.58","1.01","6.3","9000","9000"
"2D","64","20","2809.39","2698.38","1.04","5.2","9000","9000"
"2D","128","1","111.83","88","1.27","127","10000","10000"
"2D","128","2","286.44","281","1.02","51","10000","10000"
"2D","128","4","557.06","587.21","0.95","23.8","10000","10000"
"2D","128","8","1290.22","1260.09","1.02","12.8","10000","10000"
"2D","128","10","1570.32","1576.27","1","10","10000","10000"
"2D","128","16","2453.1","2397.59","1.02","6.4","10000","10000"
"2D","128","20","3096.58","3054.21","1.01","5.1","10000","10000"
"2D","256","1","482.29","366.69","1.32","132","10000","10000"
"2D","256","2","485.67","416.19","1.17","58.5","10000","10000"
"2D","256","4","497.68","560.34","0.89","22.2","10000","10000"
"2D","256","8","1239.24","1256.28","0.99","12.4","10000","10000"
"2D","256","10","1588.62","1556.4","1.02","10.2","10000","10000"
"2D","256","16","2435.18","2388.82","1.02","6.4","10000","10000"
"2D","256","20","3076.49","3057.05","1.01","5.1","10000","10000"
"2D","512","1","1924.59","1415.08","1.36","136","10000","10000"
"2D","512","2","1247.68","968.3","1.29","64.5","10000","10000"
"2D","512","4","970.55","682.36","1.42","35.5","10000","10000"
"2D","512","8","1382.38","1252.95","1.1","13.8","10000","10000"
"2D","512","10","1569.15","1487.14","1.06","10.6","10000","10000"
"2D","512","16","2478.97","2508.3","0.99","6.2","10000","10000"
"2D","512","20","3163.34","3151.94","1","5","10000","10000"
"2D","1024","1","9867.77","9194","1.07","107","10000","10000"
"2D","1024","2","5677.11","5195.68","1.09","54.5","10000","10000"
"2D","1024","4","3175.73","3058.88","1.04","26","10000","10000"
"2D","1024","8","2542.59","2262.06","1.12","14","10000","10000"
"2D","1024","10","2935.05","2836.24","1.03","10.3","10000","10000"
"2D","1024","16","3162.35","3100.6","1.02","6.4","10000","10000"
"2D","1024","20","3476.8","3379.76","1.03","5.2","10000","10000"
