Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.12,1
8k,8192,Brugnano,1,210,0
8k,8192,Brugnano,2,210,0
8k,8192,Brugnano,4,240,0
8k,8192,Brugnano,8,220,0
8k,8192,Brugnano,10,210,0
8k,8192,Brugnano,16,210,0
8k,8192,Brugnano,20,210,0
8k,8192,RecursiveDoubling,1,0.43,0.27
8k,8192,RecursiveDoubling,2,0.99,0.12
8k,8192,RecursiveDoubling,4,1.34,0.09
8k,8192,RecursiveDoubling,8,1.47,0.08
8k,8192,RecursiveDoubling,10,1.83,0.06
8k,8192,RecursiveDoubling,16,3.63,0.03
8k,8192,RecursiveDoubling,20,3.43,0.03
16k,16384,Sequential,1,0.23,1
16k,16384,Brugnano,1,410,0
16k,16384,Brugnano,2,530,0
16k,16384,Brugnano,4,430,0
16k,16384,Brugnano,8,420,0
16k,16384,Brugnano,10,420,0
16k,16384,Brugnano,16,660,0
16k,16384,Brugnano,20,740,0
16k,16384,RecursiveDoubling,1,0.5,0.46
16k,16384,RecursiveDoubling,2,1.25,0.18
16k,16384,RecursiveDoubling,4,1.55,0.15
16k,16384,RecursiveDoubling,8,2.12,0.11
16k,16384,RecursiveDoubling,10,1.92,0.12
16k,16384,RecursiveDoubling,16,2.62,0.09
16k,16384,RecursiveDoubling,20,2.99,0.08
128k,131072,Sequential,1,1.4,1
128k,131072,Brugnano,1,3060,0
128k,131072,Brugnano,2,3050,0
128k,131072,Brugnano,4,2950,0
128k,131072,Brugnano,8,2930,0
128k,131072,Brugnano,10,2930,0
128k,131072,Brugnano,16,2920,0
128k,131072,Brugnano,20,2950,0
128k,131072,RecursiveDoubling,1,3.27,0.43
128k,131072,RecursiveDoubling,2,3.14,0.45
128k,131072,RecursiveDoubling,4,2.73,0.51
128k,131072,RecursiveDoubling,8,2.64,0.53
128k,131072,RecursiveDoubling,10,2.42,0.58
128k,131072,RecursiveDoubling,16,3.42,0.41
128k,131072,RecursiveDoubling,20,4.49,0.31
1M,1048576,Sequential,1,10.55,1
1M,1048576,Brugnano,1,23390,0
1M,1048576,Brugnano,2,23720,0
1M,1048576,Brugnano,4,24240,0
1M,1048576,Brugnano,8,23050,0
1M,1048576,Brugnano,10,23330,0
1M,1048576,Brugnano,16,23520,0
1M,1048576,Brugnano,20,23980,0
1M,1048576,RecursiveDoubling,1,25.7,0.41
1M,1048576,RecursiveDoubling,2,14.79,0.71
1M,1048576,RecursiveDoubling,4,11.19,0.94
1M,1048576,RecursiveDoubling,8,8.84,1.19
1M,1048576,RecursiveDoubling,10,8.11,1.3
1M,1048576,RecursiveDoubling,16,8.23,1.28
1M,1048576,RecursiveDoubling,20,8.69,1.21
4M,4194304,Sequential,1,41.14,1
4M,4194304,Brugnano,1,91600,0
4M,4194304,Brugnano,2,90730,0
4M,4194304,Brugnano,4,90490,0
4M,4194304,Brugnano,8,90320,0
4M,4194304,Brugnano,10,90750,0
4M,4194304,Brugnano,16,89520,0
4M,4194304,Brugnano,20,91270,0
4M,4194304,RecursiveDoubling,1,98.76,0.42
4M,4194304,RecursiveDoubling,2,55.75,0.74
4M,4194304,RecursiveDoubling,4,33.76,1.22
4M,4194304,RecursiveDoubling,8,29.09,1.41
4M,4194304,RecursiveDoubling,10,24.74,1.66
4M,4194304,RecursiveDoubling,16,22.36,1.84
4M,4194304,RecursiveDoubling,20,21.32,1.93
