Program,Threads,Time(ms),Speedup
Sequential,1,10.55,1.00
Brugnano,1,23390,0
Brugnano,2,23720,0
Brugnano,4,24240,0
Brugnano,8,23050,0
Brugnano,10,23330,0
Brugnano,16,23520,0
Brugnano,20,23980,0
RecursiveDoubling,1,25.7,0.41
RecursiveDoubling,2,14.79,0.71
RecursiveDoubling,4,11.19,0.94
RecursiveDoubling,8,8.84,1.19
RecursiveDoubling,10,8.11,1.3
RecursiveDoubling,16,8.23,1.28
RecursiveDoubling,20,8.69,1.21
