Program,Threads,Time(ms),Speedup
Sequential,1,1.4,1.00
Brugnano,1,3060,0
Brugnano,2,3050,0
Brugnano,4,2950,0
Brugnano,8,2930,0
Brugnano,10,2930,0
Brugnano,16,2920,0
Brugnano,20,2950,0
RecursiveDoubling,1,3.27,0.43
RecursiveDoubling,2,3.14,0.45
RecursiveDoubling,4,2.73,0.51
RecursiveDoubling,8,2.64,0.53
RecursiveDoubling,10,2.42,0.58
RecursiveDoubling,16,3.42,0.41
RecursiveDoubling,20,4.49,0.31
