Data,Size,Program,Threads,Time(ms),Speedup
4M,4194304,Sequential,1,47.21,1
4M,4194304,Brugnano,1,79.4,0.59
4M,4194304,Brugnano,2,45.23,1.04
4M,4194304,Brugnano,4,30.17,1.56
4M,4194304,Brugnano,8,26.04,1.81
4M,4194304,Brugnano,10,24.74,1.91
4M,4194304,Brugnano,16,27.08,1.74
4M,4194304,Brugnano,20,28.1,1.68
4M,4194304,RecursiveDoubling,1,117.57,0.4
4M,4194304,RecursiveDoubling,2,65.63,0.72
4M,4194304,RecursiveDoubling,4,38.57,1.22
4M,4194304,RecursiveDoubling,8,30.53,1.55
4M,4194304,RecursiveDoubling,10,27.34,1.73
4M,4194304,RecursiveDoubling,16,23.39,2.02
4M,4194304,RecursiveDoubling,20,22.88,2.06
8M,8388608,Sequential,1,90.78,1
8M,8388608,Brugnano,1,150.54,0.6
8M,8388608,Brugnano,2,88.56,1.03
8M,8388608,Brugnano,4,56.82,1.6
8M,8388608,Brugnano,8,48.35,1.88
8M,8388608,Brugnano,10,47.81,1.9
8M,8388608,Brugnano,16,49.88,1.82
8M,8388608,Brugnano,20,50.93,1.78
8M,8388608,RecursiveDoubling,1,233.93,0.39
8M,8388608,RecursiveDoubling,2,126.52,0.72
8M,8388608,RecursiveDoubling,4,82.67,1.1
8M,8388608,RecursiveDoubling,8,54.85,1.65
8M,8388608,RecursiveDoubling,10,47.28,1.92
8M,8388608,RecursiveDoubling,16,39.16,2.32
8M,8388608,RecursiveDoubling,20,41.46,2.19
16M,16777216,Sequential,1,180.61,1
16M,16777216,Brugnano,1,301.01,0.6
16M,16777216,Brugnano,2,168.26,1.07
16M,16777216,Brugnano,4,110.28,1.64
16M,16777216,Brugnano,8,92.79,1.95
16M,16777216,Brugnano,10,92.4,1.95
16M,16777216,Brugnano,16,93.45,1.93
16M,16777216,Brugnano,20,100.06,1.81
16M,16777216,RecursiveDoubling,1,467.44,0.39
16M,16777216,RecursiveDoubling,2,249.4,0.72
16M,16777216,RecursiveDoubling,4,141.14,1.28
16M,16777216,RecursiveDoubling,8,105.13,1.72
16M,16777216,RecursiveDoubling,10,90.83,1.99
16M,16777216,RecursiveDoubling,16,73.25,2.47
16M,16777216,RecursiveDoubling,20,69.76,2.59
32M,33554432,Sequential,1,362.03,1
32M,33554432,Brugnano,1,709.07,0.51
32M,33554432,Brugnano,2,384.78,0.94
32M,33554432,Brugnano,4,213.14,1.7
32M,33554432,Brugnano,8,198.92,1.82
32M,33554432,Brugnano,10,181.19,2
32M,33554432,Brugnano,16,183.38,1.97
32M,33554432,Brugnano,20,190.86,1.9
32M,33554432,RecursiveDoubling,1,933.67,0.39
32M,33554432,RecursiveDoubling,2,496.09,0.73
32M,33554432,RecursiveDoubling,4,278.31,1.3
32M,33554432,RecursiveDoubling,8,203.26,1.78
32M,33554432,RecursiveDoubling,10,178.77,2.03
32M,33554432,RecursiveDoubling,16,142.47,2.54
32M,33554432,RecursiveDoubling,20,141.61,2.56
