Program,Threads,Time(ms),Speedup
Sequential,1,362.78,1.00
Brugnano,1,664.92,0.55
Brugnano,2,343.04,1.06
Brugnano,4,207.6,1.75
Brugnano,8,182.57,1.99
Brugnano,10,175.71,2.06
Brugnano,16,179.61,2.02
Brugnano,20,178.52,2.03
RecursiveDoubling,1,933.07,0.39
RecursiveDoubling,2,495.83,0.73
RecursiveDoubling,4,280.14,1.29
RecursiveDoubling,8,203.37,1.78
RecursiveDoubling,10,180.74,2.01
RecursiveDoubling,16,142.81,2.54
RecursiveDoubling,20,136.66,2.65
