Data,Size,Program,Threads,Time(ms),Speedup
1M,1048576,Sequential,1,12.09,1
1M,1048576,Brugnano,1,20.65,0.59
1M,1048576,Brugnano,2,12.65,0.96
1M,1048576,Brugnano,4,8.71,1.39
1M,1048576,Brugnano,8,8.85,1.37
1M,1048576,Brugnano,10,9.85,1.23
1M,1048576,Brugnano,16,9.24,1.31
1M,1048576,Brugnano,20,10.04,1.2
1M,1048576,RecursiveDoubling,1,29.79,0.41
1M,1048576,RecursiveDoubling,2,19.36,0.62
1M,1048576,RecursiveDoubling,4,11.88,1.02
1M,1048576,RecursiveDoubling,8,10.11,1.2
1M,1048576,RecursiveDoubling,10,8.92,1.35
1M,1048576,RecursiveDoubling,16,8.43,1.43
1M,1048576,RecursiveDoubling,20,8.44,1.43
2M,2097152,Sequential,1,23.55,1
2M,2097152,Brugnano,1,39.33,0.6
2M,2097152,Brugnano,2,26.84,0.88
2M,2097152,Brugnano,4,16.72,1.41
2M,2097152,Brugnano,8,13.96,1.69
2M,2097152,Brugnano,10,13.8,1.71
2M,2097152,Brugnano,16,13.75,1.71
2M,2097152,Brugnano,20,18.44,1.28
2M,2097152,RecursiveDoubling,1,59.2,0.4
2M,2097152,RecursiveDoubling,2,33.13,0.71
2M,2097152,RecursiveDoubling,4,21.83,1.08
2M,2097152,RecursiveDoubling,8,18.07,1.3
2M,2097152,RecursiveDoubling,10,15.36,1.53
2M,2097152,RecursiveDoubling,16,13.27,1.77
2M,2097152,RecursiveDoubling,20,13.99,1.68
4M,4194304,Sequential,1,46.98,1
4M,4194304,Brugnano,1,79.36,0.59
4M,4194304,Brugnano,2,44.78,1.05
4M,4194304,Brugnano,4,29.5,1.59
4M,4194304,Brugnano,8,25.95,1.81
4M,4194304,Brugnano,10,25.02,1.88
4M,4194304,Brugnano,16,26.04,1.8
4M,4194304,Brugnano,20,28.14,1.67
4M,4194304,RecursiveDoubling,1,117.72,0.4
4M,4194304,RecursiveDoubling,2,64.45,0.73
4M,4194304,RecursiveDoubling,4,39.54,1.19
4M,4194304,RecursiveDoubling,8,32.48,1.45
4M,4194304,RecursiveDoubling,10,27.56,1.7
4M,4194304,RecursiveDoubling,16,23.11,2.03
4M,4194304,RecursiveDoubling,20,23.57,1.99
8M,8388608,Sequential,1,90.71,1
8M,8388608,Brugnano,1,151.37,0.6
8M,8388608,Brugnano,2,90.11,1.01
8M,8388608,Brugnano,4,58.35,1.55
8M,8388608,Brugnano,8,50.96,1.78
8M,8388608,Brugnano,10,46.54,1.95
8M,8388608,Brugnano,16,49.33,1.84
8M,8388608,Brugnano,20,53.14,1.71
8M,8388608,RecursiveDoubling,1,233.96,0.39
8M,8388608,RecursiveDoubling,2,128.18,0.71
8M,8388608,RecursiveDoubling,4,72.11,1.26
8M,8388608,RecursiveDoubling,8,56.35,1.61
8M,8388608,RecursiveDoubling,10,48.2,1.88
8M,8388608,RecursiveDoubling,16,39.78,2.28
8M,8388608,RecursiveDoubling,20,41.85,2.17
16M,16777216,Sequential,1,181.06,1
16M,16777216,Brugnano,1,300.89,0.6
16M,16777216,Brugnano,2,167.06,1.08
16M,16777216,Brugnano,4,110.91,1.63
16M,16777216,Brugnano,8,94.48,1.92
16M,16777216,Brugnano,10,92.87,1.95
16M,16777216,Brugnano,16,93.36,1.94
16M,16777216,Brugnano,20,94.28,1.92
16M,16777216,RecursiveDoubling,1,466.51,0.39
16M,16777216,RecursiveDoubling,2,248.49,0.73
16M,16777216,RecursiveDoubling,4,139.84,1.29
16M,16777216,RecursiveDoubling,8,104.87,1.73
16M,16777216,RecursiveDoubling,10,93.07,1.95
16M,16777216,RecursiveDoubling,16,73.49,2.46
16M,16777216,RecursiveDoubling,20,80.06,2.26
32M,33554432,Sequential,1,362.78,1
32M,33554432,Brugnano,1,664.92,0.55
32M,33554432,Brugnano,2,343.04,1.06
32M,33554432,Brugnano,4,207.6,1.75
32M,33554432,Brugnano,8,182.57,1.99
32M,33554432,Brugnano,10,175.71,2.06
32M,33554432,Brugnano,16,179.61,2.02
32M,33554432,Brugnano,20,178.52,2.03
32M,33554432,RecursiveDoubling,1,933.07,0.39
32M,33554432,RecursiveDoubling,2,495.83,0.73
32M,33554432,RecursiveDoubling,4,280.14,1.29
32M,33554432,RecursiveDoubling,8,203.37,1.78
32M,33554432,RecursiveDoubling,10,180.74,2.01
32M,33554432,RecursiveDoubling,16,142.81,2.54
32M,33554432,RecursiveDoubling,20,136.66,2.65
