Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.12,1
8k,8192,Brugnano,1,0.23,0.51
8k,8192,Brugnano,2,0.84,0.14
8k,8192,Brugnano,4,1.26,0.09
8k,8192,Brugnano,8,1.75,0.07
8k,8192,Brugnano,10,1.41,0.08
8k,8192,Brugnano,16,1.72,0.07
8k,8192,Brugnano,20,2.55,0.05
8k,8192,RecursiveDoubling,1,0.28,0.43
8k,8192,RecursiveDoubling,2,0.9,0.13
8k,8192,RecursiveDoubling,4,1.45,0.08
8k,8192,RecursiveDoubling,8,1.49,0.08
8k,8192,RecursiveDoubling,10,1.89,0.06
8k,8192,RecursiveDoubling,16,3.01,0.04
8k,8192,RecursiveDoubling,20,3.11,0.04
16k,16384,Sequential,1,0.23,1
16k,16384,Brugnano,1,0.38,0.6
16k,16384,Brugnano,2,1.07,0.21
16k,16384,Brugnano,4,1.32,0.17
16k,16384,Brugnano,8,1.49,0.15
16k,16384,Brugnano,10,1.69,0.13
16k,16384,Brugnano,16,2.59,0.09
16k,16384,Brugnano,20,2.14,0.11
16k,16384,RecursiveDoubling,1,0.5,0.45
16k,16384,RecursiveDoubling,2,0.9,0.25
16k,16384,RecursiveDoubling,4,1.6,0.14
16k,16384,RecursiveDoubling,8,1.58,0.14
16k,16384,RecursiveDoubling,10,2.4,0.09
16k,16384,RecursiveDoubling,16,2.87,0.08
16k,16384,RecursiveDoubling,20,3.25,0.07
128k,131072,Sequential,1,1.41,1
128k,131072,Brugnano,1,2.27,0.62
128k,131072,Brugnano,2,2.25,0.63
128k,131072,Brugnano,4,2.77,0.51
128k,131072,Brugnano,8,3.42,0.41
128k,131072,Brugnano,10,3.24,0.43
128k,131072,Brugnano,16,3.68,0.38
128k,131072,Brugnano,20,4.37,0.32
128k,131072,RecursiveDoubling,1,3.28,0.43
128k,131072,RecursiveDoubling,2,2.54,0.55
128k,131072,RecursiveDoubling,4,2.44,0.58
128k,131072,RecursiveDoubling,8,2.63,0.54
128k,131072,RecursiveDoubling,10,2.92,0.48
128k,131072,RecursiveDoubling,16,3.98,0.35
128k,131072,RecursiveDoubling,20,3.77,0.37
1M,1048576,Sequential,1,10.64,1
1M,1048576,Brugnano,1,18.12,0.59
1M,1048576,Brugnano,2,11.8,0.9
1M,1048576,Brugnano,4,10.7,1
1M,1048576,Brugnano,8,8.32,1.28
1M,1048576,Brugnano,10,10.27,1.04
1M,1048576,Brugnano,16,10.95,0.97
1M,1048576,Brugnano,20,10.71,0.99
1M,1048576,RecursiveDoubling,1,27.12,0.39
1M,1048576,RecursiveDoubling,2,16.39,0.65
1M,1048576,RecursiveDoubling,4,12.69,0.84
1M,1048576,RecursiveDoubling,8,9.14,1.17
1M,1048576,RecursiveDoubling,10,8.21,1.3
1M,1048576,RecursiveDoubling,16,8.19,1.3
1M,1048576,RecursiveDoubling,20,8.28,1.28
4M,4194304,Sequential,1,41.06,1
4M,4194304,Brugnano,1,73.39,0.56
4M,4194304,Brugnano,2,42.05,0.98
4M,4194304,Brugnano,4,31.63,1.3
4M,4194304,Brugnano,8,26.27,1.56
4M,4194304,Brugnano,10,25.59,1.6
4M,4194304,Brugnano,16,25.38,1.62
4M,4194304,Brugnano,20,26.3,1.56
4M,4194304,RecursiveDoubling,1,101.42,0.4
4M,4194304,RecursiveDoubling,2,56.02,0.73
4M,4194304,RecursiveDoubling,4,33.12,1.24
4M,4194304,RecursiveDoubling,8,28.53,1.44
4M,4194304,RecursiveDoubling,10,26.28,1.56
4M,4194304,RecursiveDoubling,16,20.88,1.97
4M,4194304,RecursiveDoubling,20,23,1.79
