Program,Threads,Time(ms),Speedup
Sequential,1,10.64,1.00
Brugnano,1,18.12,0.59
Brugnano,2,11.8,0.9
Brugnano,4,10.7,1
Brugnano,8,8.32,1.28
Brugnano,10,10.27,1.04
Brugnano,16,10.95,0.97
Brugnano,20,10.71,0.99
RecursiveDoubling,1,27.12,0.39
RecursiveDoubling,2,16.39,0.65
RecursiveDoubling,4,12.69,0.84
RecursiveDoubling,8,9.14,1.17
RecursiveDoubling,10,8.21,1.3
RecursiveDoubling,16,8.19,1.3
RecursiveDoubling,20,8.28,1.28
