Program,Threads,Time(ms),Speedup
Sequential,1,0.12,1.00
Brugnano,1,0.23,0.51
Brugnano,2,0.84,0.14
Brugnano,4,1.26,0.09
Brugnano,8,1.75,0.07
Brugnano,10,1.41,0.08
Brugnano,16,1.72,0.07
Brugnano,20,2.55,0.05
RecursiveDoubling,1,0.28,0.43
RecursiveDoubling,2,0.9,0.13
RecursiveDoubling,4,1.45,0.08
RecursiveDoubling,8,1.49,0.08
RecursiveDoubling,10,1.89,0.06
RecursiveDoubling,16,3.01,0.04
RecursiveDoubling,20,3.11,0.04
