"Dimension","N","Threads","Method","Iterations","Time_ms","Error","Speedup"
"2D","1024","8","Tiled","1000","272.70","9.91e-01","1.43"
"2D","1024","8","Tiled+Aligned","1000","427.03","9.91e-01","0.91"
"2D","1024","10","Original","1000","406.33","9.91e-01","1.00"
"2D","1024","10","Tiled","1000","294.95","9.91e-01","1.38"
"2D","1024","10","Tiled+Aligned","1000","401.93","9.91e-01","1.01"
"2D","1024","16","Original","1000","466.60","9.91e-01","1.00"
"2D","1024","16","Tiled","1000","330.19","9.91e-01","1.41"
"2D","1024","16","Tiled+Aligned","1000","394.05","9.91e-01","1.18"
"2D","1024","20","Original","1000","543.18","9.91e-01","1.00"
"2D","1024","20","Tiled","1000","392.29","9.91e-01","1.38"
"2D","1024","20","Tiled+Aligned","1000","413.67","9.91e-01","1.31"
"2D","2048","1","Original","1000","7507.42","9.98e-01","1.00"
"2D","2048","1","Tiled","1000","5788.83","9.98e-01","1.30"
"2D","2048","1","Tiled+Aligned","1000","7978.97","9.98e-01","0.94"
"2D","2048","2","Original","1000","4805.16","9.98e-01","1.00"
"2D","2048","2","Tiled","1000","3788.45","9.98e-01","1.27"
"2D","2048","2","Tiled+Aligned","1000","5289.89","9.98e-01","0.91"
"2D","2048","4","Original","1000","3588.88","9.98e-01","1.00"
"2D","2048","4","Tiled","1000","2814.07","9.98e-01","1.28"
"2D","2048","4","Tiled+Aligned","1000","4072.50","9.98e-01","0.88"
"2D","2048","8","Original","1000","3221.99","9.98e-01","1.00"
"2D","2048","8","Tiled","1000","2810.09","9.98e-01","1.15"
"2D","2048","8","Tiled+Aligned","1000","3775.98","9.98e-01","0.85"
"2D","2048","10","Original","1000","3353.03","9.98e-01","1.00"
"2D","2048","10","Tiled","1000","3029.90","9.98e-01","1.11"
"2D","2048","10","Tiled+Aligned","1000","3847.78","9.98e-01","0.87"
"2D","2048","16","Original","1000","3531.92","9.98e-01","1.00"
"2D","2048","16","Tiled","1000","3134.95","9.98e-01","1.13"
"2D","2048","16","Tiled+Aligned","1000","3657.18","9.98e-01","0.97"
"2D","2048","20","Original","1000","3660.25","9.98e-01","1.00"
"2D","2048","20","Tiled","1000","3179.33","9.98e-01","1.15"
"2D","2048","20","Tiled+Aligned","1000","3589.80","9.98e-01","1.02"
