"Dimension","N","Threads","Method","Iterations","Time_ms","Error","Speedup"
"2D","64","1","Original","1000","2.41","9.65e-02","1.00"
"2D","64","1","Tiled","1000","1.97","9.65e-02","1.22"
"2D","64","1","Tiled+Aligned","1000","2.63","9.65e-02","0.91"
"2D","64","2","Original","1000","42.39","9.65e-02","1.00"
"2D","64","2","Tiled","1000","36.34","9.65e-02","1.17"
"2D","64","2","Tiled+Aligned","1000","35.64","9.65e-02","1.19"
"2D","64","4","Original","1000","79.95","9.65e-02","1.00"
"2D","64","4","Tiled","1000","72.32","9.65e-02","1.11"
"2D","64","4","Tiled+Aligned","1000","75.34","9.65e-02","1.06"
"2D","64","8","Original","1000","155.00","9.65e-02","1.00"
"2D","64","8","Tiled","1000","149.77","9.65e-02","1.03"
"2D","64","8","Tiled+Aligned","1000","144.34","9.65e-02","1.07"
"2D","64","10","Original","1000","187.36","9.65e-02","1.00"
"2D","64","10","Tiled","1000","183.66","9.65e-02","1.02"
"2D","64","10","Tiled+Aligned","1000","190.54","9.65e-02","0.98"
"2D","64","16","Original","1000","309.78","9.65e-02","1.00"
"2D","64","16","Tiled","1000","286.29","9.65e-02","1.08"
"2D","64","16","Tiled+Aligned","1000","304.45","9.65e-02","1.02"
"2D","64","20","Original","1000","351.96","9.65e-02","1.00"
"2D","64","20","Tiled","1000","332.27","9.65e-02","1.06"
"2D","64","20","Tiled+Aligned","1000","347.91","9.65e-02","1.01"
"2D","128","1","Original","1000","9.54","5.53e-01","1.00"
"2D","128","1","Tiled","1000","7.89","5.53e-01","1.21"
"2D","128","1","Tiled+Aligned","1000","9.48","5.53e-01","1.01"
"2D","128","2","Original","1000","36.97","5.53e-01","1.00"
"2D","128","2","Tiled","1000","35.48","5.53e-01","1.04"
"2D","128","2","Tiled+Aligned","1000","26.95","5.53e-01","1.37"
"2D","128","4","Original","1000","75.65","5.53e-01","1.00"
"2D","128","4","Tiled","1000","74.38","5.53e-01","1.02"
"2D","128","4","Tiled+Aligned","1000","79.12","5.53e-01","0.96"
"2D","128","8","Original","1000","191.27","5.53e-01","1.00"
"2D","128","8","Tiled","1000","147.11","5.53e-01","1.30"
"2D","128","8","Tiled+Aligned","1000","152.83","5.53e-01","1.25"
"2D","128","10","Original","1000","183.41","5.53e-01","1.00"
"2D","128","10","Tiled","1000","172.46","5.53e-01","1.06"
"2D","128","10","Tiled+Aligned","1000","180.57","5.53e-01","1.02"
"2D","128","16","Original","1000","291.45","5.53e-01","1.00"
"2D","128","16","Tiled","1000","272.31","5.53e-01","1.07"
"2D","128","16","Tiled+Aligned","1000","289.64","5.53e-01","1.01"
"2D","128","20","Original","1000","356.62","5.53e-01","1.00"
"2D","128","20","Tiled","1000","333.40","5.53e-01","1.07"
"2D","128","20","Tiled+Aligned","1000","339.23","5.53e-01","1.05"
"2D","256","1","Original","1000","40.99","8.61e-01","1.00"
"2D","256","1","Tiled","1000","32.59","8.61e-01","1.26"
"2D","256","1","Tiled+Aligned","1000","38.57","8.61e-01","1.06"
"2D","256","2","Original","1000","51.98","8.61e-01","1.00"
"2D","256","2","Tiled","1000","42.26","8.61e-01","1.23"
"2D","256","2","Tiled+Aligned","1000","65.08","8.61e-01","0.80"
"2D","256","4","Original","1000","66.19","8.61e-01","1.00"
"2D","256","4","Tiled","1000","58.20","8.61e-01","1.14"
"2D","256","4","Tiled+Aligned","1000","61.98","8.61e-01","1.07"
"2D","256","8","Original","1000","149.10","8.61e-01","1.00"
"2D","256","8","Tiled","1000","135.37","8.61e-01","1.10"
"2D","256","8","Tiled+Aligned","1000","138.87","8.61e-01","1.07"
"2D","256","10","Original","1000","177.71","8.61e-01","1.00"
"2D","256","10","Tiled","1000","171.87","8.61e-01","1.03"
"2D","256","10","Tiled+Aligned","1000","178.25","8.61e-01","1.00"
"2D","256","16","Original","1000","283.62","8.61e-01","1.00"
"2D","256","16","Tiled","1000","277.47","8.61e-01","1.02"
"2D","256","16","Tiled+Aligned","1000","294.87","8.61e-01","0.96"
"2D","256","20","Original","1000","363.70","8.61e-01","1.00"
"2D","256","20","Tiled","1000","337.59","8.61e-01","1.08"
"2D","256","20","Tiled+Aligned","1000","356.60","8.61e-01","1.02"
"2D","512","1","Original","1000","209.66","9.63e-01","1.00"
"2D","512","1","Tiled","1000","156.47","9.63e-01","1.34"
"2D","512","1","Tiled+Aligned","1000","170.55","9.63e-01","1.23"
"2D","512","2","Original","1000","126.26","9.63e-01","1.00"
"2D","512","2","Tiled","1000","106.88","9.63e-01","1.18"
"2D","512","2","Tiled+Aligned","1000","122.31","9.63e-01","1.03"
"2D","512","4","Original","1000","110.80","9.63e-01","1.00"
"2D","512","4","Tiled","1000","86.86","9.63e-01","1.28"
"2D","512","4","Tiled+Aligned","1000","123.36","9.63e-01","0.90"
"2D","512","8","Original","1000","122.77","9.63e-01","1.00"
"2D","512","8","Tiled","1000","132.38","9.63e-01","0.93"
"2D","512","8","Tiled+Aligned","1000","154.12","9.63e-01","0.80"
"2D","512","10","Original","1000","146.63","9.63e-01","1.00"
"2D","512","10","Tiled","1000","154.41","9.63e-01","0.95"
"2D","512","10","Tiled+Aligned","1000","176.25","9.63e-01","0.83"
"2D","512","16","Original","1000","269.10","9.63e-01","1.00"
"2D","512","16","Tiled","1000","271.39","9.63e-01","0.99"
"2D","512","16","Tiled+Aligned","1000","284.01","9.63e-01","0.95"
"2D","512","20","Original","1000","346.69","9.63e-01","1.00"
"2D","512","20","Tiled","1000","344.93","9.63e-01","1.01"
"2D","512","20","Tiled+Aligned","1000","353.01","9.63e-01","0.98"
"2D","1024","1","Original","1000","1285.39","9.91e-01","1.00"
"2D","1024","1","Tiled","1000","989.54","9.91e-01","1.30"
"2D","1024","1","Tiled+Aligned","1000","1293.46","9.91e-01","0.99"
"2D","1024","2","Original","1000","679.25","9.91e-01","1.00"
"2D","1024","2","Tiled","1000","571.37","9.91e-01","1.19"
"2D","1024","2","Tiled+Aligned","1000","820.59","9.91e-01","0.83"
"2D","1024","4","Original","1000","498.91","9.91e-01","1.00"
"2D","1024","4","Tiled","1000","433.41","9.91e-01","1.15"
"2D","1024","4","Tiled+Aligned","1000","562.29","9.91e-01","0.89"
"2D","1024","8","Original","1000","389.11","9.91e-01","1.00"
