Program,Threads,Time(ms),Speedup
Sequential,1,1.44,1.00
Brugnano,1,2960,0
Brugnano,2,6400,0
Brugnano,4,6190,0
Brugnano,8,3500,0
Brugnano,10,5360,0
Brugnano,16,3150,0
Brugnano,20,3110,0
RecursiveDoubling,1,3.46,0.42
RecursiveDoubling,2,2.9,0.5
RecursiveDoubling,4,2.95,0.49
RecursiveDoubling,8,3.11,0.46
RecursiveDoubling,10,2.64,0.55
RecursiveDoubling,16,3.85,0.37
RecursiveDoubling,20,3.68,0.39
