Program,Threads,Time(ms),Speedup
Sequential,1,0.12,1.00
Brugnano,1,220,0
Brugnano,2,220,0
Brugnano,4,220,0
Brugnano,8,250,0
Brugnano,10,260,0
Brugnano,16,230,0
Brugnano,20,350,0
RecursiveDoubling,1,0.26,0.46
RecursiveDoubling,2,0.77,0.15
RecursiveDoubling,4,1.3,0.09
RecursiveDoubling,8,1.61,0.07
RecursiveDoubling,10,1.72,0.07
RecursiveDoubling,16,2.82,0.04
RecursiveDoubling,20,3.9,0.03
