Program,Threads,Time(ms),Speedup
Sequential,1,0.22,1.00
Brugnano,1,450,0
Brugnano,2,430,0
Brugnano,4,440,0
Brugnano,8,480,0
Brugnano,10,410,0
Brugnano,16,420,0
Brugnano,20,420,0
RecursiveDoubling,1,0.5,0.45
RecursiveDoubling,2,1,0.22
RecursiveDoubling,4,1.23,0.18
RecursiveDoubling,8,1.63,0.14
RecursiveDoubling,10,1.9,0.12
RecursiveDoubling,16,2.7,0.08
RecursiveDoubling,20,3.21,0.07
